Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;Ingresos anuales brutos;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;Campanna_anno;Cluster
M;Si;33;Si;Construccion;15;Bajo;2;27655;0.916;30;0;416;3.0;0
F;;21;No;Funcionario;5;Bajo;5;23229;2.478;30;0;422;3.0;0
M;Si;65;Si;Otros;25;Bajo;4;23790;1.737;30;0;558;1.0;3
F;No;43;Si;Artista;25;Bajo;1;30798;1.859;30;0;469;1.0;3
M;No;52;Si;Artista;25;Bajo;1;107048;1.385;50;0;377;1.0;1
M;Si;47;Si;Ejecutivo;25;Alto;3;81464;0.896;80;0;322;0.5;1
M;Si;40;No;Ejecutivo;15;Medio;4;82765;1.905;30;0;348;0.5;1
M;Si;88;No;Servicios;25;Bajo;1;98860;0.955;120;0;483;3.0;4
M;No;40;Si;Artista;15;Bajo;2;73875;0.87;50;0;473;3.0;3
M;No;30;No;Servicios;5;Bajo;7;24750;0.824;30;1;319;0.5;2
F;Si;41;Si;Artista;15;Alto;2;102142;1.445;50;1;380;3.0;1
M;Si;51;Si;Ejecutivo;25;Alto;3;88796;0.974;80;0;347;0.5;1
F;Si;52;No;Ingeniero;25;Medio;4;91780;0.603;30;0;460;3.0;3
F;No;31;Si;Funcionario;5;Bajo;3;31620;0.847;30;0;463;3.0;0
F;Si;30;No;Negocios/empresa;5;Bajo;2;25210;1.238;30;0;476;3.0;0
F;Si;46;No;Ingeniero;25;Bajo;1;37207;1.443;30;0;410;3.0;3
M;Si;79;Si;Artista;25;Medio;2;76162;0.681;50;1;370;3.0;1
M;No;20;No;Funcionario;5;Bajo;4;16116;14.085;30;0;465;3.0;0
M;Si;51;Si;Artista;25;Bajo;1;52430;0.642;50;0;457;3.0;3
F;Si;55;Si;Ingeniero;25;Alto;2;123559;0.935;50;0;468;3.0;3
F;No;35;Si;Medico;15;Bajo;3;25568;1.583;30;0;499;3.0;0
F;Si;47;No;Ingeniero;25;Medio;5;21950;0.564;30;0;596;4.0;3
M;No;32;No;Negocios/empresa;15;Bajo;5;28472;1.744;30;0;564;4.0;0
M;Si;88;Si;Servicios;25;Bajo;1;124934;0.837;50;0;442;3.0;4
F;No;31;Si;Funcionario;5;Bajo;4;19619;1.376;30;1;361;0.5;2
M;Si;74;No;Servicios;25;Alto;9;72312;1.091;30;1;363;0.5;1
F;Si;47;Si;Artista;25;Medio;2;84769;1.717;50;0;477;3.0;3
F;Si;47;Si;Artista;25;Medio;4;21366;1.502;30;0;569;4.0;3
F;Si;86;Si;Servicios;25;Alto;2;44132;0.564;50;1;301;0.5;1
F;No;28;Si;Funcionario;5;Bajo;5;18643;1.995;30;0;348;0.5;2
M;Si;41;No;Ejecutivo;15;Medio;5;44300;1.491;30;0;368;3.0;0
M;Si;66;Si;Medico;25;Medio;2;49821;1.404;50;0;430;3.0;3
F;Si;54;Si;Construccion;25;Medio;3;53234;0.564;30;0;425;3.0;3
M;Si;53;Si;Artista;25;Bajo;5;37965;0.72;30;1;308;0.5;1
M;Si;90;Si;Ejecutivo;25;Alto;2;62419;1.17;50;0;382;3.0;3
M;Si;55;Si;Artista;25;Medio;4;86180;0.74;80;0;330;0.5;1
F;No;25;No;Ingeniero;5;Bajo;1;28548;2.306;30;0;489;3.0;0
F;No;22;No;Funcionario;5;Bajo;6;19365;3.099;30;0;517;4.0;0
F;No;24;No;Funcionario;5;Bajo;3;21141;2.168;30;0;411;3.0;0
F;Si;40;Si;Artista;15;Medio;2;34364;0.778;30;0;482;3.0;3
M;Si;57;No;Otros;25;Medio;5;120574;1.678;200;0;508;4.0;4
F;No;32;Si;Artista;15;Bajo;1;21687;0.732;30;0;439;3.0;0
M;Si;44;Si;Artista;25;Medio;4;116326;1.1;30;0;320;0.5;1
F;No;44;Si;Artista;25;Bajo;1;90572;1.675;50;0;441;1.0;3
M;Si;42;Si;Artista;25;Bajo;2;21506;1.307;30;0;527;1.0;3
F;Si;46;Si;Artista;25;Bajo;2;25715;15.215;30;0;306;0.5;2
M;Si;65;Si;Artista;25;Bajo;2;52301;1.737;50;0;564;1.0;3
M;Si;45;Si;Ejecutivo;25;Medio;3;118305;1.744;30;0;512;4.0;3
M;Si;74;Si;Ejecutivo;25;Bajo;2;112983;0.759;50;0;475;3.0;3
M;Si;39;No;Artista;15;Medio;2;23791;0.939;30;0;497;3.0;0
M;;21;No;Funcionario;5;Bajo;3;18379;1.788;30;1;344;0.5;2
M;Si;69;Si;Otros;25;Bajo;2;67990;1.091;50;0;330;0.5;1
F;No;25;No;Funcionario;5;Bajo;3;25123;2.306;30;0;516;4.0;0
M;No;36;Si;Medico;15;Bajo;2;22309;0.801;30;0;515;4.0;0
F;Si;76;Si;Ingeniero;25;Bajo;2;116292;1.033;50;1;366;3.0;1
F;Si;54;Si;Medico;25;Medio;4;21962;1.424;30;0;379;3.0;3
M;No;68;Si;Servicios;25;Bajo;1;127188;0.974;50;0;506;4.0;3
M;Si;31;Si;Ingeniero;5;Medio;2;23023;1.56;30;0;364;0.5;2
M;No;22;No;Funcionario;5;Bajo;5;15005;1.236;30;0;321;0.5;2
F;No;30;No;Construccion;5;Bajo;1;29143;1.031;30;0;532;4.0;0
F;No;62;No;Ingeniero;25;Bajo;1;69229;1.326;30;0;521;4.0;3
M;Si;50;Si;Artista;25;Medio;4;48692;0.72;30;0;583;4.0;3
F;Si;28;Si;Funcionario;5;Bajo;2;19509;1.305;30;0;411;3.0;0
F;Si;81;No;Servicios;25;Alto;2;64200;1.697;30;0;428;3.0;3
F;No;25;No;Funcionario;5;Bajo;4;30810;2.927;30;0;343;0.5;2
F;No;42;Si;Artista;25;Bajo;1;50413;0.709;50;0;308;0.5;1
F;Si;62;No;Servicios;25;Alto;4;60382;1.678;30;0;405;3.0;3
F;Si;58;Si;Artista;25;Bajo;2;41277;0.661;50;0;370;3.0;3
M;Si;63;No;Ejecutivo;25;Alto;5;83097;1.404;30;0;569;4.0;3
M;No;24;No;Medico;5;Bajo;3;20248;13.395;30;0;430;3.0;0
F;No;23;No;Ingeniero;5;Bajo;5;14508;14.085;30;0;549;4.0;0
F;No;54;No;Ingeniero;25;Bajo;1;114342;0.642;120;0;394;3.0;4
M;No;42;Si;Medico;25;Bajo;1;41408;0.893;50;0;371;3.0;3
M;Si;52;No;Artista;25;Medio;4;89663;1.619;30;0;359;0.5;1
F;No;34;No;Ingeniero;15;Bajo;4;18455;1.169;30;0;308;0.5;2
F;Si;56;No;Ejecutivo;25;Bajo;1;122968;1.228;120;0;335;0.5;4
M;Si;20;No;Ejecutivo;5;Alto;4;21453;1.098;30;0;515;4.0;0
F;No;31;Si;Otros;5;Bajo;4;31689;2.02;30;0;511;4.0;0
M;;21;No;Otros;5;Alto;3;16263;1.754;30;0;561;4.0;0
M;Si;47;Si;Artista;25;Bajo;2;93570;1.385;50;0;350;0.5;1
M;Si;57;Si;Ejecutivo;25;Alto;4;81605;1.287;80;0;511;1.0;3
F;Si;76;No;Ingeniero;25;Bajo;3;73565;1.326;30;0;403;3.0;3
F;No;42;Si;Funcionario;25;Bajo;1;76047;1.399;50;0;512;1.0;3
M;Si;65;Si;Artista;25;Bajo;1;110421;1.639;50;0;439;1.0;1
M;No;31;No;Negocios/empresa;5;Bajo;1;21752;0.939;30;0;498;3.0;0
F;No;47;;Otros;25;Bajo;1;88700;1.6;120;0;519;4.0;4
M;No;30;No;Medico;5;Bajo;3;19071;0.801;30;0;598;4.0;0
F;Si;44;Si;Otros;25;Medio;2;111342;1.514;50;0;347;0.5;1
M;No;30;Si;Funcionario;5;Bajo;3;29916;1.951;30;0;470;3.0;0
F;Si;95;Si;Servicios;25;Alto;2;37113;0.681;50;0;463;3.0;3
M;Si;45;Si;Negocios/empresa;25;Alto;2;82698;1.813;50;0;380;1.0;1
F;Si;58;No;Ingeniero;25;Medio;4;33034;0.681;30;0;464;3.0;3
M;Si;61;No;Ejecutivo;25;Bajo;1;27311;1.385;30;0;323;0.5;1
M;Si;81;Si;Servicios;25;Bajo;2;67552;0.955;50;1;324;0.5;1
F;No;33;No;Construccion;15;Bajo;4;20283;1.399;30;1;356;0.5;2
F;No;41;Si;Artista;15;Bajo;2;42918;1.054;50;0;428;3.0;0
F;No;24;No;Negocios/empresa;5;Bajo;1;17004;1.65;30;1;376;3.0;2
M;No;21;No;Funcionario;5;Bajo;4;22373;1.685;30;1;314;0.5;2
F;No;39;Si;Artista;15;Bajo;1;18453;0.686;30;0;355;0.5;2
F;Si;43;No;Ingeniero;25;Medio;2;114028;1.491;120;0;555;4.0;4
M;No;21;No;Funcionario;5;Bajo;5;21250;1.547;30;0;486;3.0;0
M;Si;51;Si;Artista;25;Medio;2;29539;1.013;30;1;314;0.5;1
M;No;32;Si;Artista;15;Bajo;1;26497;0.824;30;0;412;3.0;0
F;Si;76;Si;Ingeniero;25;Bajo;1;79990;1.033;50;0;335;0.5;1
F;No;29;No;Funcionario;5;Bajo;8;23466;2.306;30;1;340;0.5;2
M;Si;21;No;Negocios/empresa;5;Alto;5;14959;1.236;30;0;449;3.0;0
M;Si;39;Si;Artista;15;Medio;4;26201;1.238;30;0;588;4.0;0
M;No;47;Si;Otros;25;Bajo;2;94822;1.482;50;0;498;1.0;3
M;No;28;Si;Otros;5;Bajo;2;20884;2.823;30;0;568;4.0;0
M;Si;67;No;Artista;25;Alto;2;29880;1.541;30;0;390;3.0;3
M;No;42;Si;Artista;25;Bajo;1;63425;1.468;50;0;541;1.0;3
F;No;66;Si;Otros;25;Bajo;2;120691;1.658;50;0;358;0.5;1
M;Si;83;Si;Servicios;25;Bajo;1;38201;1.6;50;0;329;0.5;1
F;No;34;No;Medico;15;Bajo;4;19790;1.491;30;0;504;4.0;0
M;Si;62;No;Artista;25;Medio;2;89101;0.818;120;0;348;0.5;4
F;Si;57;Si;Artista;25;Bajo;2;67677;1.267;50;1;301;0.5;1
F;Si;30;Si;Artista;5;Medio;2;26804;0.663;30;1;393;3.0;2
F;Si;54;Si;Artista;25;Medio;3;91418;15.215;80;1;368;3.0;1
F;No;29;Si;Artista;5;Bajo;1;26554;2.582;30;0;405;3.0;0
M;Si;47;Si;Medico;25;Alto;2;49063;11.305;50;1;370;3.0;1
F;Si;33;Si;Artista;15;Bajo;4;22790;1.721;30;1;316;0.5;2
F;Si;77;Si;Artista;25;Medio;4;98977;0.994;80;0;521;4.0;3
F;Si;98;No;Servicios;25;Alto;1;66627;1.267;30;1;392;3.0;1
M;Si;32;No;Ejecutivo;15;Medio;3;22882;1.491;30;0;306;0.5;2
M;No;32;No;Funcionario;15;Bajo;1;26703;1.399;30;0;440;3.0;0
F;Si;53;Si;Medico;25;Bajo;2;117718;1.189;50;0;546;4.0;3
F;Si;56;Si;Medico;25;Medio;3;37893;1.717;30;1;314;0.5;1
F;No;21;No;Funcionario;5;Bajo;3;13058;1.374;30;0;429;3.0;0
F;No;23;No;Funcionario;5;Bajo;1;22851;14.085;30;0;600;4.0;0
M;Si;51;Si;Otros;25;Medio;3;120010;1.404;80;0;521;4.0;3
M;Si;95;Si;Servicios;25;Bajo;1;127275;1.737;50;0;495;1.0;4
F;Si;80;Si;Servicios;25;Alto;2;124259;1.17;50;0;450;3.0;4
M;Si;79;No;Ingeniero;25;Bajo;1;125455;1.365;120;0;486;3.0;4
M;Si;58;Si;Artista;25;Bajo;3;36290;0.935;30;0;600;4.0;3
M;Si;69;No;Otros;25;Medio;1;73552;1.052;30;0;326;0.5;1
F;No;25;No;Funcionario;5;Bajo;3;19442;3.065;30;0;508;4.0;0
F;Si;43;Si;Artista;25;Medio;2;75608;1.422;50;0;324;0.5;1
M;Si;29;Si;Artista;5;Medio;3;20364;2.271;30;0;508;4.0;0
F;Si;33;No;Ingeniero;15;Medio;7;22215;1.33;30;0;397;3.0;0
M;No;35;No;Funcionario;15;Bajo;4;21518;1.79;30;0;540;4.0;0
M;No;20;;Ejecutivo;5;Bajo;5;17630;2.754;30;0;465;3.0;0
F;No;35;Si;Artista;15;Bajo;4;23241;1.077;30;0;555;4.0;0
F;Si;35;No;Ingeniero;15;Bajo;3;31172;1.307;30;0;466;3.0;0
M;Si;74;Si;Medico;25;Medio;4;76151;1.228;80;0;468;3.0;3
F;Si;85;Si;Servicios;25;Alto;2;126168;1.658;50;0;325;0.5;1
M;Si;87;No;Servicios;25;Medio;2;99976;1.619;120;0;599;4.0;4
M;No;34;No;Otros;15;Bajo;1;20764;1.537;30;0;489;3.0;0
M;Si;46;Si;Artista;25;Bajo;3;27449;1.658;30;1;322;0.5;1
F;No;20;No;Servicios;5;Bajo;6;20495;2.823;30;0;471;3.0;0
M;Si;52;Si;Artista;25;Bajo;3;36616;0.974;30;1;349;0.5;1
F;Si;44;Si;Artista;25;Medio;2;53091;1.169;50;0;480;3.0;3
F;Si;57;Si;Artista;25;Medio;2;53769;1.697;50;0;382;3.0;3
M;Si;52;Si;Artista;25;Bajo;1;82303;1.326;50;0;402;1.0;1
M;No;29;No;Artista;5;Bajo;6;25764;1.374;30;0;301;0.5;2
M;Si;46;No;Negocios/empresa;25;Alto;6;101456;1.717;30;0;457;3.0;3
F;No;32;No;Ingeniero;15;Bajo;4;24236;1.422;30;0;593;4.0;0
M;No;35;Si;Medico;15;Bajo;4;29593;1.353;30;0;509;4.0;0
M;Si;42;No;Ejecutivo;25;Alto;5;29313;1.652;30;0;332;0.5;1
M;No;24;No;Funcionario;5;Bajo;2;16514;2.823;30;0;451;3.0;0
F;Si;86;Si;Artista;25;Alto;2;100443;1.189;50;0;479;3.0;3
F;No;35;Si;Funcionario;15;Bajo;3;31084;1.353;30;0;592;4.0;0
M;Si;41;Si;Artista;15;Medio;4;36904;1.353;30;0;473;3.0;0
M;Si;52;No;Artista;25;Alto;4;120328;1.248;200;0;555;4.0;4
F;Si;75;Si;Servicios;25;Alto;2;119699;1.385;50;1;381;3.0;1
M;No;33;Si;Funcionario;15;Bajo;5;24564;1.169;30;0;337;0.5;2
F;Si;53;Si;Otros;25;Bajo;1;26593;0.779;30;0;575;4.0;3
M;Si;35;Si;Funcionario;15;Bajo;2;23215;0.824;30;0;513;4.0;0
F;No;23;No;Funcionario;5;Bajo;4;17793;12.015;30;1;363;0.5;2
F;No;32;No;Construccion;15;Bajo;4;24844;1.721;30;0;321;0.5;2
F;No;35;Si;Funcionario;15;Bajo;3;31700;1.491;30;0;492;3.0;0
F;No;31;Si;Artista;5;Bajo;7;23122;0.847;30;1;358;0.5;2
F;Si;75;Si;Servicios;25;Bajo;1;112345;0.974;50;0;502;4.0;3
F;Si;50;Si;Artista;25;Bajo;1;61925;1.58;50;0;458;1.0;3
M;No;33;Si;Medico;15;Bajo;1;24766;1.169;30;0;505;4.0;0
F;Si;46;No;Construccion;25;Medio;4;120002;0.779;200;0;326;0.5;4
M;No;45;Si;Artista;25;Bajo;3;70725;1.261;30;0;496;1.0;3
F;No;20;No;Funcionario;5;Bajo;4;21815;1.581;30;1;339;0.5;2
F;Si;63;Si;Medico;25;Bajo;2;116106;1.072;50;0;515;4.0;3
M;No;20;No;Funcionario;5;Bajo;2;14079;2.478;30;0;528;4.0;0
M;Si;57;Si;Artista;25;Medio;6;77948;1.443;30;0;578;4.0;3
M;No;56;;Artista;25;Bajo;4;76096;1.267;30;0;427;3.0;3
F;Si;41;Si;Otros;15;Medio;2;113239;1.146;50;0;476;3.0;3
M;Si;50;Si;Artista;25;Medio;4;117783;1.678;80;0;362;0.5;1
M;Si;57;Si;Otros;25;Medio;4;96695;0.798;80;0;544;4.0;3
F;Si;54;Si;Construccion;25;Bajo;1;81575;1.189;50;0;341;0.5;1
F;No;34;No;Funcionario;15;Bajo;5;27324;1.123;30;0;581;4.0;0
F;No;46;Si;Funcionario;25;Bajo;1;123873;15.215;50;1;380;3.0;1
F;No;23;No;Funcionario;5;Bajo;4;19003;2.72;30;0;432;3.0;0
M;No;43;Si;Artista;25;Bajo;3;99287;1.928;30;0;550;1.0;3
F;No;31;No;Medico;5;Bajo;1;30104;1.468;30;1;364;0.5;2
F;Si;67;Si;Medico;25;Medio;2;93005;0.974;50;0;308;0.5;1
M;Si;68;Si;Artista;25;Medio;4;124263;0.955;80;0;416;3.0;3
M;Si;72;Si;Otros;25;Medio;2;54928;1.17;50;0;564;4.0;3
M;Si;50;Si;Medico;25;Medio;2;74599;1.482;50;0;486;3.0;3
F;Si;29;Si;Ingeniero;5;Bajo;2;21680;1.443;30;0;379;3.0;0
F;Si;50;Si;Artista;25;Medio;4;25789;1.072;30;0;367;3.0;3
M;Si;47;No;Ejecutivo;25;Alto;4;49093;1.404;30;1;355;0.5;1
M;Si;54;Si;Ejecutivo;25;Alto;3;110237;0.74;80;0;315;0.5;1
M;Si;61;Si;Artista;25;Medio;2;37614;0.603;50;0;589;4.0;3
F;No;41;Si;Artista;15;Bajo;1;59680;1.238;50;0;548;1.0;3
F;No;35;No;Servicios;15;Bajo;5;19417;1.537;30;0;514;4.0;0
M;Si;56;Si;Construccion;25;Bajo;1;100155;1.013;50;1;400;3.0;1
F;No;34;Si;Funcionario;15;Bajo;1;30112;1.1;30;0;522;4.0;0
F;No;33;No;Ingeniero;15;Bajo;4;25249;1.284;30;0;374;3.0;0
F;Si;47;No;Artista;25;Medio;3;36106;1.58;30;0;381;3.0;3
M;Si;47;No;Artista;25;Bajo;2;25968;1.561;30;1;393;3.0;1
M;Si;76;Si;Servicios;25;Bajo;1;121626;1.111;50;0;386;3.0;4
M;Si;31;No;Otros;5;Medio;4;31279;1.146;30;0;406;3.0;0
F;No;31;Si;Funcionario;5;Bajo;3;26060;1.146;30;0;501;4.0;0
M;No;64;No;Funcionario;25;Bajo;2;90868;1.404;120;0;478;3.0;4
M;Si;50;Si;Artista;25;Medio;4;54168;0.661;30;0;399;3.0;3
M;Si;73;Si;Artista;25;Bajo;3;122787;1.619;80;1;347;0.5;1
F;Si;65;Si;Artista;25;Medio;2;39180;1.639;50;0;399;3.0;3
F;No;44;Si;Ingeniero;25;Bajo;1;120411;2.043;50;0;576;1.0;3
F;Si;92;No;Servicios;25;Alto;2;22751;1.639;30;0;499;3.0;3
F;No;45;Si;Negocios/empresa;25;Bajo;1;112217;1.399;50;0;474;1.0;3
M;Si;56;No;Artista;25;Medio;3;77602;0.642;30;0;412;3.0;3
F;No;36;No;Medico;15;Bajo;1;30886;1.928;30;0;458;3.0;0
M;No;28;No;Negocios/empresa;5;Bajo;3;28251;2.34;30;0;401;3.0;0
F;No;47;Si;Artista;25;Bajo;4;47465;1.717;30;0;493;1.0;3
M;Si;41;Si;Medico;15;Bajo;2;64489;2.043;50;0;387;1.0;1
M;Si;53;No;Ejecutivo;25;Alto;2;109223;1.6;120;0;490;3.0;4
F;Si;66;No;Otros;25;Bajo;4;125516;1.15;200;1;337;0.5;4
M;Si;50;Si;Otros;25;Medio;3;23355;1.052;30;0;570;4.0;3
M;No;34;Si;Funcionario;15;Bajo;1;29054;1.169;30;0;482;3.0;0
M;No;29;Si;Funcionario;5;Bajo;3;19863;1.857;30;1;390;3.0;2
M;Si;74;No;Ejecutivo;25;Alto;1;111414;1.385;120;0;331;0.5;4
M;Si;42;Si;Artista;25;Medio;2;37125;1.652;50;1;366;3.0;1
F;No;44;Si;Medico;25;Bajo;1;101202;1.284;50;0;322;0.5;1
F;Si;76;No;Servicios;25;Medio;2;52511;1.326;30;1;348;0.5;1
M;No;23;No;Funcionario;5;Bajo;5;19163;2.168;30;1;368;3.0;2
F;Si;53;No;Ingeniero;25;Alto;1;44477;1.385;30;0;457;3.0;3
M;Si;79;Si;Artista;25;Bajo;3;29341;1.482;30;1;323;0.5;1
M;Si;94;No;Servicios;25;Bajo;1;57364;0.955;30;0;495;3.0;3
F;No;41;Si;Otros;15;Bajo;1;49249;0.847;50;0;429;3.0;0
M;Si;55;Si;Medico;25;Bajo;2;127784;1.091;50;0;437;3.0;3
M;No;23;No;Funcionario;5;Bajo;4;19369;2.616;30;0;370;3.0;0
M;No;20;No;Funcionario;5;Bajo;6;19274;14.085;30;1;399;3.0;2
M;Si;52;Si;Artista;25;Bajo;1;47594;1.619;50;0;521;1.0;3
M;Si;83;No;Servicios;25;Alto;2;66863;1.365;30;0;456;3.0;3
M;Si;55;Si;Artista;25;Medio;4;59289;0.837;80;0;481;3.0;3
F;No;33;Si;Artista;15;Bajo;3;21461;0.732;30;0;302;0.5;2
F;Si;39;No;Funcionario;15;Bajo;1;28214;1.744;30;1;316;0.5;2
M;Si;41;Si;Funcionario;15;Bajo;1;72247;1.606;50;0;416;1.0;1
M;Si;40;Si;Artista;15;Medio;2;70482;0.87;50;0;553;4.0;3
M;No;24;No;Funcionario;5;Bajo;4;15092;2.375;30;0;544;4.0;0
F;No;21;No;Funcionario;5;Bajo;3;13233;2.789;30;0;424;3.0;0
F;No;34;No;Medico;15;Bajo;4;31170;1.813;30;1;330;0.5;2
F;Si;80;Si;Servicios;25;Bajo;1;101271;0.681;50;0;531;4.0;3
F;Si;56;Si;Artista;25;Bajo;1;58346;15.215;50;1;370;3.0;1
M;Si;28;Si;Ejecutivo;5;Alto;2;22807;2.133;30;1;383;3.0;2
M;Si;73;;Ejecutivo;25;Alto;2;80730;0.876;120;0;543;4.0;4
M;Si;96;No;Ejecutivo;25;Bajo;2;123807;1.248;120;0;318;0.5;4
M;Si;66;Si;Artista;25;Medio;4;82677;1.717;80;0;501;4.0;3
M;Si;44;Si;Ejecutivo;25;Alto;5;126960;1.951;200;0;341;0.5;4
M;No;31;Si;Funcionario;5;Bajo;3;18347;0.87;30;0;469;3.0;0
M;No;43;Si;Medico;25;Bajo;3;105632;1.192;30;0;501;4.0;3
F;No;43;Si;Servicios;25;Bajo;1;82364;0.87;50;0;540;4.0;3
M;Si;76;Si;Artista;25;Medio;3;104886;1.424;80;1;384;3.0;1
F;No;46;Si;Artista;25;Bajo;1;55564;1.287;50;0;462;1.0;3
F;Si;51;Si;Ingeniero;25;Bajo;1;45038;1.052;50;0;504;4.0;3
F;Si;42;Si;Medico;25;Medio;4;58663;1.767;30;0;534;4.0;3
F;Si;78;No;Servicios;25;Alto;3;91466;0.564;30;0;483;3.0;3
F;No;29;No;Medico;5;Bajo;2;21874;2.271;30;0;496;3.0;0
F;No;20;No;Funcionario;5;Bajo;3;13993;1.029;30;0;465;3.0;0
M;Si;29;Si;Medico;5;Medio;2;22120;2.375;30;0;370;3.0;0
M;Si;44;Si;Otros;25;Medio;2;62004;0.801;50;0;438;3.0;3
F;Si;72;Si;Artista;25;Medio;2;62023;0.759;50;0;599;4.0;3
M;No;28;No;Funcionario;5;Bajo;4;26026;2.03;30;0;512;4.0;0
M;No;25;No;Funcionario;5;Bajo;5;23098;2.651;30;1;371;3.0;2
F;No;33;Si;Funcionario;15;Bajo;6;29206;1.583;30;0;355;0.5;2
F;Si;47;Si;Artista;25;Medio;4;91518;0.661;80;1;398;3.0;1
F;No;44;Si;Funcionario;25;Bajo;4;69956;1.008;30;1;344;0.5;1
M;Si;67;Si;Otros;25;Alto;5;66429;15.215;30;0;506;1.0;3
M;No;39;Si;Artista;15;Bajo;3;25314;1.974;30;0;557;1.0;0
F;Si;58;No;Construccion;25;Alto;3;69133;1.267;30;1;364;0.5;1
M;No;25;No;Funcionario;5;Bajo;3;30263;1.754;30;0;581;4.0;0
